Date,Time,Type,Texture,Color,Notes
2016-08-14,6:09:12 PM,Mixed,,,
2016-08-14,4:43:02 PM,Wet,,,
2016-08-14,2:58:00 PM,Wet,,,
2016-08-14,12:11:49 PM,Mixed,,,
2016-08-14,8:12:14 AM,Mixed,,,
2016-08-14,5:43:34 AM,Mixed,,,
2016-08-14,2:51:16 AM,Mixed,,,
2016-08-13,7:35:21 PM,Poopy,,,
2016-08-13,6:30:05 PM,Mixed,,,
2016-08-13,6:08:46 PM,Wet,,,
2016-08-13,2:47:28 PM,Wet,,,
2016-08-13,11:45:47 AM,Wet,,,
2016-08-13,7:46:45 AM,Mixed,,,
2016-08-13,7:11:00 AM,Mixed,,,
2016-08-13,3:57:47 AM,Mixed,,,
2016-08-13,12:07:24 AM,Wet,,,
2016-08-12,8:52:46 PM,Wet,,,
2016-08-12,6:26:44 PM,Wet,,,
2016-08-12,3:07:10 PM,Mixed,,,
2016-08-12,1:20:33 PM,Wet,,,
2016-08-12,11:55:23 AM,Wet,,,
2016-08-12,8:58:43 AM,Mixed,,,
2016-08-12,7:01:34 AM,Wet,,,
2016-08-12,4:45:25 AM,Poopy,Loose,,
2016-08-12,3:50:37 AM,Wet,,,
2016-08-11,11:48:09 PM,Wet,,,
2016-08-11,7:44:14 PM,Wet,,,
2016-08-11,4:14:57 PM,Mixed,,,
2016-08-11,4:08:52 PM,Wet,,,
2016-08-11,1:40:31 PM,Poopy,Loose,,
2016-08-11,1:22:26 PM,Mixed,,,
2016-08-11,12:00:45 PM,Wet,,,
2016-08-11,8:52:19 AM,Mixed,,,
2016-08-11,7:19:48 AM,Mixed,,,
2016-08-11,5:53:15 AM,Mixed,,,
2016-08-10,8:56:37 PM,Wet,,,
2016-08-10,6:20:45 PM,Poopy,,,
2016-08-10,5:30:06 PM,Mixed,Loose,4,
